gid,name,lat,lon,f_class,f_code,country,state,county
4074277,Madison County,34.763090000000005,-86.55020999999999,A,ADM2,US,AL,089
4074590,Marengo County,32.247609999999995,-87.78952,A,ADM2,US,AL,091
4074636,Marion County,34.13655,-87.88714,A,ADM2,US,AL,093
4074673,Marion,32.63235,-87.31917,P,PPLA2,US,AL,105
4074736,Marshall County,34.36696,-86.30664,A,ADM2,US,AL,095
4076598,Mobile,30.694359999999996,-88.04305,P,PPLA2,US,AL,097
4076607,Mobile County,30.68515,-88.19753,A,ADM2,US,AL,097
4076706,Monroe County,31.570840000000004,-87.36543,A,ADM2,US,AL,099
4076725,Monroeville,31.52794,-87.32471,P,PPLA2,US,AL,099
4076795,Montgomery County,32.220259999999996,-86.20761,A,ADM2,US,AL,101
4077029,Morgan County,34.45347,-86.85293,A,ADM2,US,AL,103
4077329,Moulton,34.48121,-87.29335,P,PPLA2,US,AL,079
4081644,Opelika,32.64541,-85.37828,P,PPLA2,US,AL,081
4081671,Oneonta,33.94815,-86.47276,P,PPLA2,US,AL,009
4081936,Ozark,31.459059999999997,-85.64049,P,PPLA2,US,AL,045
4082741,Perry County,32.63847,-87.2944,A,ADM2,US,AL,105
4082866,Phenix City,32.47098,-85.00076999999999,P,PPLA2,US,AL,113
4082974,Pickens County,33.280879999999996,-88.08869,A,ADM2,US,AL,107
4083063,Pike County,31.80272,-85.94091999999999,A,ADM2,US,AL,109
4084796,Prattville,32.46402,-86.4597,P,PPLA2,US,AL,001
4085418,Randolph County,33.29379,-85.45907,A,ADM2,US,AL,111
4086637,Rockford,32.88957,-86.21969,P,PPLA2,US,AL,037
4087313,Russellville,34.507870000000004,-87.72864,P,PPLA2,US,AL,059
4087481,Saint Clair County,33.7157,-86.31469,A,ADM2,US,AL,115
4088916,Scottsboro,34.672309999999996,-86.03415,P,PPLA2,US,AL,071
4089114,Selma,32.40736,-87.0211,P,PPLA2,US,AL,047
4089551,Shelby County,33.26428,-86.66065,A,ADM2,US,AL,117
4092386,Sumter County,32.59101,-88.19879,A,ADM2,US,AL,119
4092788,Talladega,33.43594,-86.1058,P,PPLA2,US,AL,121
4092795,Talladega County,33.38006,-86.16591,A,ADM2,US,AL,121
4092827,Tallapoosa County,32.8624,-85.7975,A,ADM2,US,AL,123
4094163,Troy,31.808770000000003,-85.96995,P,PPLA2,US,AL,109
4094455,Tuscaloosa,33.20984,-87.56917,P,PPLA2,US,AL,125
4094463,Tuscaloosa County,33.28955,-87.52503,A,ADM2,US,AL,125
4094484,Tuscumbia,34.7312,-87.70253000000001,P,PPLA2,US,AL,033
4094490,Tuskegee,32.42415,-85.69096,P,PPLA2,US,AL,087
4094975,Union Springs,32.14432,-85.71495,P,PPLA2,US,AL,011
4095392,Vernon,33.75705,-88.10892,P,PPLA2,US,AL,075
4096107,Walker County,33.803329999999995,-87.29736,A,ADM2,US,AL,127
4096449,Washington County,31.4076,-88.20788,A,ADM2,US,AL,129
4096712,Wedowee,33.309,-85.48467,P,PPLA2,US,AL,111
4097257,Wetumpka,32.54374,-86.21191,P,PPLA2,US,AL,051
4097694,Wilcox County,31.989240000000002,-87.3082,A,ADM2,US,AL,131
4098200,Winston County,34.149229999999996,-87.37368000000001,A,ADM2,US,AL,133
4099647,Arkadelphia,34.12093,-93.05378,P,PPLA2,US,AR,019
4099673,Arkansas City,33.60872,-91.20678000000001,P,PPLA2,US,AR,041
4099679,Arkansas County,34.29081,-91.37491,A,ADM2,US,AR,001
4099837,Ash Flat,36.22396,-91.60848,P,PPLA2,US,AR,135
4099852,Ashdown,33.67429,-94.13131,P,PPLA2,US,AR,081
4099869,Ashley County,33.19122,-91.76845,A,ADM2,US,AR,003
4099952,Augusta,35.282309999999995,-91.36541,P,PPLA2,US,AR,147
4100525,Batesville,35.7698,-91.64097,P,PPLA2,US,AR,063
4100581,Baxter County,36.28719,-92.33697,A,ADM2,US,AR,005
4101241,Benton,34.56454,-92.58683,P,PPLA2,US,AR,125
4101244,Benton County,36.33872,-94.25619,A,ADM2,US,AR,007
4101260,Bentonville,36.37285,-94.20881999999999,P,PPLA2,US,AR,007
4102608,Boone County,36.30859,-93.0915,A,ADM2,US,AR,009
4102799,Bradley County,33.46642,-92.1624,A,ADM2,US,AR,011
4104063,Calhoun County,33.55803,-92.50304,A,ADM2,US,AR,013
4104182,Camden,33.584559999999996,-92.83433000000001,P,PPLA2,US,AR,103
4104658,Carroll County,36.34102,-93.53818000000001,A,ADM2,US,AR,015
4105506,Chicot County,33.26725,-91.29397,A,ADM2,US,AR,017
4105824,Clarendon,34.69315,-91.31374,P,PPLA2,US,AR,095
4105838,Clark County,34.050959999999996,-93.17636999999999,A,ADM2,US,AR,019
4105879,Clarksville,35.471470000000004,-93.46656999999999,P,PPLA2,US,AR,071
4105899,Clay County,36.368390000000005,-90.41738000000001,A,ADM2,US,AR,021
4106009,Cleburne County,35.538109999999996,-92.02674,A,ADM2,US,AR,023
4106032,Cleveland County,33.89836,-92.18514,A,ADM2,US,AR,025
4106074,Clinton,35.59147,-92.46044,P,PPLA2,US,AR,141
4106339,Columbia County,33.214290000000005,-93.22731,A,ADM2,US,AR,027
4106458,Conway,35.0887,-92.4421,P,PPLA2,US,AR,045
4106460,Conway County,35.262209999999996,-92.70132,A,ADM2,US,AR,029
4106979,Craighead County,35.83079,-90.63285,A,ADM2,US,AR,031
4107027,Crawford County,35.58883,-94.24311999999999,A,ADM2,US,AR,033
4107079,Crittenden County,35.20794,-90.30886,A,ADM2,US,AR,035
4107139,Cross County,35.29573,-90.77123,A,ADM2,US,AR,037
4107572,Dallas County,33.96983,-92.65444000000001,A,ADM2,US,AR,039
4107802,De Queen,34.037890000000004,-94.34132,P,PPLA2,US,AR,133
4108100,Desha County,33.83333,-91.25395,A,ADM2,US,AR,041
4108996,Drew County,33.58945,-91.72001999999999,A,ADM2,US,AR,043
4109785,El Dorado,33.20763,-92.66627,P,PPLA2,US,AR,139
4110465,Faulkner County,35.14698,-92.33204,A,ADM2,US,AR,045
4110486,Fayetteville,36.06258,-94.15743,P,PPLA2,US,AR,143
4111319,Fordyce,33.81372,-92.41293,P,PPLA2,US,AR,039
4111382,Forrest City,35.00815,-90.78983000000001,P,PPLA2,US,AR,123
4111593,Franklin County,35.51235,-93.89062,A,ADM2,US,AR,047
4111857,Fulton County,36.38167,-91.81824,A,ADM2,US,AR,049
4112045,Garland County,34.57669,-93.15043,A,ADM2,US,AR,051
4112780,Grant County,34.29002,-92.42358,A,ADM2,US,AR,053
4113088,Greene County,36.11769,-90.55908000000001,A,ADM2,US,AR,055
4113607,Hamburg,33.22818,-91.79763,P,PPLA2,US,AR,003
4113647,Hampton,33.537890000000004,-92.46988,P,PPLA2,US,AR,013
4113951,Harrisburg,35.56425,-90.71678,P,PPLA2,US,AR,111
4113956,Harrison,36.22979,-93.10768,P,PPLA2,US,AR,009
4114225,Heber Springs,35.49147,-92.03126,P,PPLA2,US,AR,023
4114272,Helena,34.52955,-90.59177,P,PPLA2,US,AR,107
4114303,Hempstead County,33.7353,-93.66844,A,ADM2,US,AR,057
4115181,Hope,33.66706,-93.59156999999999,P,PPLA2,US,AR,057
4115406,Hot Spring County,34.31763,-92.94601,A,ADM2,US,AR,059
4115412,Hot Springs,34.5037,-93.05518000000001,P,PPLA2,US,AR,051
4115463,Howard County,34.08874,-93.99349000000001,A,ADM2,US,AR,061
4115658,Huntsville,36.08619,-93.7413,P,PPLA2,US,AR,087
4115832,Independence County,35.74158,-91.56971999999999,A,ADM2,US,AR,063
4116178,Izard County,36.09487,-91.91342,A,ADM2,US,AR,065
4116263,Jackson County,35.59923,-91.21457,A,ADM2,US,AR,067
4116400,Jasper,36.00813,-93.18656999999999,P,PPLA2,US,AR,101
4116433,Jefferson County,34.26879,-91.93151,A,ADM2,US,AR,069
4116689,Johnson County,35.57005,-93.45991,A,ADM2,US,AR,071
4117774,Lafayette County,33.24098,-93.60704,A,ADM2,US,AR,073
4118121,Lake Village,33.32873,-91.28178,P,PPLA2,US,AR,017
4118467,Lawrence County,36.04125,-91.10708000000001,A,ADM2,US,AR,075
4118578,Lee County,34.78062,-90.78206999999999,A,ADM2,US,AR,077
4118755,Lewisville,33.35846,-93.57768,P,PPLA2,US,AR,073
4118984,Lincoln County,33.95747,-91.73331999999999,A,ADM2,US,AR,079
4119374,Little River County,33.700540000000004,-94.23434,A,ADM2,US,AR,081
4119581,Logan County,35.215270000000004,-93.71631,A,ADM2,US,AR,083
4119817,Lonoke,34.78398,-91.89986,P,PPLA2,US,AR,085
4119825,Lonoke County,34.75427,-91.88866999999999,A,ADM2,US,AR,085
4120275,Madison County,36.01096,-93.72456,A,ADM2,US,AR,087
4120323,Magnolia,33.267070000000004,-93.23933000000001,P,PPLA2,US,AR,027
4120388,Malvern,34.36231,-92.81295,P,PPLA2,US,AR,059
4120508,Marianna,34.773709999999994,-90.75761,P,PPLA2,US,AR,077
4120524,Marion,35.214529999999996,-90.19648000000001,P,PPLA2,US,AR,035
4120525,Marion County,36.26835,-92.68422,A,ADM2,US,AR,089
4120611,Marshall,35.90896,-92.63127,P,PPLA2,US,AR,129
4121256,Melbourne,36.059509999999996,-91.90848000000001,P,PPLA2,US,AR,065
4121297,Mena,34.586220000000004,-94.23966,P,PPLA2,US,AR,113
4121680,Miller County,33.31215,-93.89156,A,ADM2,US,AR,091
4121839,Mississippi County,35.7639,-90.05417,A,ADM2,US,AR,093
4121968,Monroe County,34.67784,-91.20389,A,ADM2,US,AR,095
4121992,Montgomery County,34.538790000000006,-93.65953,A,ADM2,US,AR,097
4122015,Monticello,33.629,-91.79096,P,PPLA2,US,AR,043
4122218,Morrilton,35.15092,-92.74405,P,PPLA2,US,AR,029
4122466,Mount Ida,34.55676,-93.63408000000001,P,PPLA2,US,AR,097
4122986,Mountain View,35.86841,-92.11765,P,PPLA2,US,AR,137
4123037,Mountain Home,36.33534,-92.38516,P,PPLA2,US,AR,005
4123162,Murfreesboro,34.062329999999996,-93.6899,P,PPLA2,US,AR,109
4123271,Nashville,33.94567,-93.84713,P,PPLA2,US,AR,061
4123415,Nevada County,33.66397,-93.30714,A,ADM2,US,AR,099
4123830,Newport,35.6048,-91.2818,P,PPLA2,US,AR,067
4123857,Newton County,35.91997,-93.21786999999999,A,ADM2,US,AR,101
4125059,Ouachita County,33.59336,-92.88193000000001,A,ADM2,US,AR,103
4125388,Paragould,36.0584,-90.49733,P,PPLA2,US,AR,055
4125858,Perry County,34.94737,-92.93146999999999,A,ADM2,US,AR,105
4125875,Perryville,35.00481,-92.80266999999999,P,PPLA2,US,AR,105
4126012,Phillips County,34.428290000000004,-90.84801999999999,A,ADM2,US,AR,107
4126123,Pike County,34.1635,-93.65634,A,ADM2,US,AR,109
4126226,Pine Bluff,34.228429999999996,-92.0032,P,PPLA2,US,AR,069
4126923,Pocahontas,36.26146,-90.97123,P,PPLA2,US,AR,121
4126942,Poinsett County,35.574040000000004,-90.66293,A,ADM2,US,AR,111
4127017,Polk County,34.48584,-94.22807,A,ADM2,US,AR,113
4127100,Pope County,35.44763,-93.03416,A,ADM2,US,AR,115
4127330,Prairie County,34.82979,-91.55277,A,ADM2,US,AR,117
4127433,Prescott,33.802609999999994,-93.38101,P,PPLA2,US,AR,099
4127619,Pulaski County,34.76993,-92.3118,A,ADM2,US,AR,119
4127846,Randolph County,36.34148,-91.02772,A,ADM2,US,AR,121
4128469,Rison,33.95843,-92.19015,P,PPLA2,US,AR,025
4129397,Russellville,35.278420000000004,-93.13379,P,PPLA2,US,AR,115
4129533,Saint Francis County,35.022,-90.74778,A,ADM2,US,AR,123
4129962,Salem,36.371179999999995,-91.82265,P,PPLA2,US,AR,049
4130035,Saline County,34.64662,-92.67657,A,ADM2,US,AR,125
4130373,Scott County,34.86077,-94.06325,A,ADM2,US,AR,127
4130430,Searcy,35.250640000000004,-91.73625,P,PPLA2,US,AR,145
4130432,Searcy County,35.9109,-92.69949,A,ADM2,US,AR,129
4130449,Sebastian County,35.199259999999995,-94.27391,A,ADM2,US,AR,131
4130562,Sevier County,33.9972,-94.24122,A,ADM2,US,AR,133
4130730,Sharp County,36.161159999999995,-91.47986,A,ADM2,US,AR,135
4130821,Sheridan,34.30704,-92.40127,P,PPLA2,US,AR,053
4132227,Star City,33.94288,-91.84347,P,PPLA2,US,AR,079
4132456,Stone County,35.85987,-92.15668000000001,A,ADM2,US,AR,137
4133367,Texarkana,33.441790000000005,-94.03769,P,PPLA2,US,AR,091
4134330,Union County,33.17136,-92.59729,A,ADM2,US,AR,139
4134690,Van Buren County,35.58065,-92.5157,A,ADM2,US,AR,141
4134716,Van Buren,35.43676,-94.34827,P,PPLA2,US,AR,033
4135004,Waldron,34.89843,-94.09076,P,PPLA2,US,AR,127
4135205,Walnut Ridge,36.0684,-90.95595,P,PPLA2,US,AR,075
4135349,Warren,33.61261,-92.06458,P,PPLA2,US,AR,011
4135394,Washington County,35.97907,-94.21558,A,ADM2,US,AR,143
4136143,White County,35.25627,-91.74555,A,ADM2,US,AR,145
4137047,Woodruff County,35.18633,-91.24306999999999,A,ADM2,US,AR,147
4137215,Wynne,35.22453,-90.78678000000001,P,PPLA2,US,AR,037
4137268,Yell County,35.0026,-93.41125,A,ADM2,US,AR,149
4137291,Yellville,36.22618,-92.68489,P,PPLA2,US,AR,089
4140987,Washington County,38.96678,-77.04137,A,ADM2,US,DC,001
4142643,Georgetown,38.69011,-75.38547,P,PPLA2,US,DE,005
4143221,Kent County,39.09595,-75.50461,A,ADM2,US,DE,001
4143835,New Castle County,39.57833,-75.63898,A,ADM2,US,DE,003
4144895,Sussex County,38.6833,-75.33954,A,ADM2,US,DE,005
4145381,Wilmington,39.74595,-75.54659000000001,P,PPLA2,US,DE,003
4145709,Alachua County,29.67476,-82.3577,A,ADM2,US,FL,001
4146148,Apalachicola,29.726,-84.9856,P,PPLA2,US,FL,037
4146206,Arcadia,27.21588,-81.85842,P,PPLA2,US,FL,027
4146548,Baker County,30.33107,-82.28459000000001,A,ADM2,US,FL,003
4146723,Bartow,27.896409999999996,-81.84314,P,PPLA2,US,FL,105
4146810,Bay County,30.23765,-85.63261999999999,A,ADM2,US,FL,005
4148237,Blountstown,30.443790000000003,-85.04744000000001,P,PPLA2,US,FL,013
4148526,Bonifay,30.791859999999996,-85.67965,P,PPLA2,US,FL,059
4148708,Bradenton,27.498929999999998,-82.57481999999999,P,PPLA2,US,FL,081
4148735,Bradford County,29.949959999999997,-82.16878,A,ADM2,US,FL,007
4148826,Brevard County,28.300309999999996,-80.70121,A,ADM2,US,FL,009
4148912,Bristol,30.432470000000002,-84.97702,P,PPLA2,US,FL,077
4148957,Bronson,29.447740000000003,-82.64233,P,PPLA2,US,FL,075
4148986,Brooksville,28.55554,-82.38991,P,PPLA2,US,FL,053
4149007,Broward County,26.15186,-80.45589,A,ADM2,US,FL,011
4149363,Bunnell,29.46609,-81.25784,P,PPLA2,US,FL,035
4149433,Bushnell,28.664990000000003,-82.11286,P,PPLA2,US,FL,119
4149608,Calhoun County,30.406029999999998,-85.19721,A,ADM2,US,FL,013
4150627,Charlotte County,26.89985,-81.95031,A,ADM2,US,FL,015
4150769,Chipley,30.781859999999998,-85.53854,P,PPLA2,US,FL,133
4151140,Citrus County,28.84757,-82.52011,A,ADM2,US,FL,017
4151245,Clay County,29.98307,-81.85789,A,ADM2,US,FL,019
4151316,Clearwater,27.96585,-82.8001,P,PPLA2,US,FL,103
4151550,Collier County,26.099239999999998,-81.38096999999999,A,ADM2,US,FL,021
4151595,Columbia County,30.22424,-82.62154,A,ADM2,US,FL,023
4152267,Crawfordville,30.176040000000004,-84.37518,P,PPLA2,US,FL,129
4152311,Crestview,30.76213,-86.57051,P,PPLA2,US,FL,091
4152395,Cross City,29.63465,-83.12694,P,PPLA2,US,FL,029
4152695,Dade City,28.364720000000002,-82.19592,P,PPLA2,US,FL,101
4152888,DeFuniak Springs,30.721020000000003,-86.11522,P,PPLA2,US,FL,131
4152890,DeLand,29.02832,-81.30311999999999,P,PPLA2,US,FL,127
4152927,DeSoto County,27.186320000000002,-81.8093,A,ADM2,US,FL,027
4153352,Dixie County,29.58124,-83.18703000000001,A,ADM2,US,FL,029
4153840,Duval County,30.335440000000002,-81.64801,A,ADM2,US,FL,031
4154550,Escambia County,30.6144,-87.34136,A,ADM2,US,FL,033
4155006,Fernandina Beach,30.66968,-81.46259,P,PPLA2,US,FL,089
4155535,Flagler County,29.47115,-81.29299,A,ADM2,US,FL,035
4155966,Fort Lauderdale,26.12231,-80.14338000000001,P,PPLA2,US,FL,011
4155995,Fort Myers,26.621679999999998,-81.84059,P,PPLA2,US,FL,071
4156018,Fort Pierce,27.446709999999996,-80.32561,P,PPLA2,US,FL,111
4156210,Franklin County,29.81168,-84.80046,A,ADM2,US,FL,037
4156394,Gadsden County,30.57947,-84.6136,A,ADM2,US,FL,039
4156404,Gainesville,29.651629999999997,-82.32483,P,PPLA2,US,FL,001
4156770,Gilchrist County,29.725820000000002,-82.80037,A,ADM2,US,FL,041
4156815,Glades County,26.95648,-81.18898,A,ADM2,US,FL,043
4157427,Green Cove Springs,29.991909999999997,-81.67815,P,PPLA2,US,FL,019
4157652,Gulf County,29.908620000000003,-85.26101,A,ADM2,US,FL,045
4157924,Hamilton County,30.49643,-82.94796,A,ADM2,US,FL,047
4158068,Hardee County,27.4927,-81.80993000000001,A,ADM2,US,FL,049
4158392,Hendry County,26.553490000000004,-81.1659,A,ADM2,US,FL,051
4158449,Hernando County,28.55617,-82.46849,A,ADM2,US,FL,053
4158643,Highlands County,27.3434,-81.34097,A,ADM2,US,FL,055
4158712,Hillsborough County,27.906229999999997,-82.34692,A,ADM2,US,FL,057
4158961,Holmes County,30.867890000000003,-85.8141,A,ADM2,US,FL,059
4159657,Indian River County,27.69639,-80.57409,A,ADM2,US,FL,061
4159786,Inverness,28.835820000000002,-82.33037,P,PPLA2,US,FL,017
4159990,Jackson County,30.79539,-85.21546,A,ADM2,US,FL,063
4160021,Jacksonville,30.332179999999997,-81.65565,P,PPLA2,US,FL,031
4160102,Jasper,30.51827,-82.94819,P,PPLA2,US,FL,047
4160118,Jefferson County,30.42346,-83.90047,A,ADM2,US,FL,065
4160812,Key West,24.555239999999998,-81.78163,P,PPLA2,US,FL,087
4160983,Kissimmee,28.304679999999998,-81.41667,P,PPLA2,US,FL,097
4161075,LaBelle,26.76173,-81.43841,P,PPLA2,US,FL,051
4161127,Lafayette County,29.98552,-83.18106999999999,A,ADM2,US,FL,067
4161171,Lake Butler,30.022740000000002,-82.33955999999999,P,PPLA2,US,FL,125
4161187,Lake City,30.18968,-82.63929,P,PPLA2,US,FL,023
4161204,Lake County,28.761470000000003,-81.7113,A,ADM2,US,FL,069
4161743,Lee County,26.625359999999997,-81.84952,A,ADM2,US,FL,071
4161831,Leon County,30.458040000000004,-84.27788000000001,A,ADM2,US,FL,073
4161891,Levy County,29.28221,-82.78860999999999,A,ADM2,US,FL,075
4161925,Liberty County,30.241359999999997,-84.88291,A,ADM2,US,FL,077
4162461,Live Oak,30.29495,-82.98402,P,PPLA2,US,FL,121
4163083,Macclenny,30.28218,-82.12206,P,PPLA2,US,FL,003
4163140,Madison,30.469379999999997,-83.41293,P,PPLA2,US,FL,079
4163142,Madison County,30.44414,-83.47012,A,ADM2,US,FL,079
4163277,Manatee County,27.477520000000002,-82.35754,A,ADM2,US,FL,081
4163428,Marianna,30.774359999999998,-85.22686999999999,P,PPLA2,US,FL,063
4163456,Marion County,29.2102,-82.05668,A,ADM2,US,FL,083
4163566,Martin County,27.081570000000003,-80.39851,A,ADM2,US,FL,085
4163723,Mayo,30.053,-83.17486,P,PPLA2,US,FL,067
4164138,Miami,25.77427,-80.19366,P,PPLA2,US,FL,086
4164238,Miami-Dade County,25.608970000000003,-80.49866999999999,A,ADM2,US,FL,086
4164547,Milton,30.632409999999997,-87.03969000000001,P,PPLA2,US,FL,113
4164762,Monroe County,25.55731,-80.91705,A,ADM2,US,FL,087
4164803,Monticello,30.54515,-83.8713,P,PPLA2,US,FL,065
4164836,Moore Haven,26.83312,-81.09312,P,PPLA2,US,FL,043
4165565,Naples,26.14234,-81.79596,P,PPLA2,US,FL,021
4165603,Nassau County,30.61058,-81.77141999999999,A,ADM2,US,FL,089
4166673,Ocala,29.1872,-82.14009,P,PPLA2,US,FL,083
4166818,Okaloosa County,30.665029999999998,-86.59218,A,ADM2,US,FL,091
4166822,Okeechobee,27.24393,-80.82978,P,PPLA2,US,FL,093
4166825,Okeechobee County,27.386290000000002,-80.88858,A,ADM2,US,FL,093
4167060,Orange County,28.51442,-81.32348,A,ADM2,US,FL,095
4167147,Orlando,28.53834,-81.37924,P,PPLA2,US,FL,095
4167218,Osceola County,28.062659999999997,-81.14948000000001,A,ADM2,US,FL,097
4167482,Palatka,29.64858,-81.63758,P,PPLA2,US,FL,107
4167510,Palm Beach County,26.64757,-80.43651,A,ADM2,US,FL,099
4167694,Panama City,30.15946,-85.65983,P,PPLA2,US,FL,005
4167895,Pasco County,28.30674,-82.43887,A,ADM2,US,FL,101
4168228,Pensacola,30.42131,-87.21691,P,PPLA2,US,FL,033
4168244,Perry,30.117659999999997,-83.58274,P,PPLA2,US,FL,123
4168618,Pinellas County,27.90268,-82.73955,A,ADM2,US,FL,103
4168988,Polk County,27.94888,-81.69767,A,ADM2,US,FL,105
