gid,name,lat,lon,f_class,f_code,country,state,county,state_county
4046255,Bay Minette,30.882959999999997,-87.77305,P,PPLA2,US,AL,003,AL_003
4046274,Edna,28.978590000000004,-96.64609,P,PPLA2,US,TX,239,TX_239
4046332,Henderson,32.153220000000005,-94.79938,P,PPLA2,US,TX,401,TX_401
4046946,Yorktown,37.23876,-76.50967,P,PPLA2,US,VA,199,VA_199
4048488,Stockton,39.43807,-99.2651,P,PPLA2,US,KS,163,KS_163
4048662,Paducah,37.08339,-88.60005,P,PPLA2,US,KY,145,KY_145
4049979,Birmingham,33.52066,-86.80249,P,PPLA2,US,AL,073,AL_073
4051714,Brewton,31.105179999999997,-87.07219,P,PPLA2,US,AL,053,AL_053
4052726,Butler,32.08959,-88.22197,P,PPLA2,US,AL,023,AL_023
4053200,Camden,31.99098,-87.29055,P,PPLA2,US,AL,131,AL_131
4053823,Carrollton,33.26169,-88.09503000000001,P,PPLA2,US,AL,107,AL_107
4054555,Centre,34.15204,-85.67885,P,PPLA2,US,AL,019,AL_019
4054566,Centreville,32.9462,-87.11669,P,PPLA2,US,AL,007,AL_007
4054818,Chatom,31.46517,-88.25446,P,PPLA2,US,AL,129,AL_129
4055577,Clanton,32.83874,-86.62943,P,PPLA2,US,AL,021,AL_021
4055696,Clayton,31.878220000000002,-85.44966,P,PPLA2,US,AL,005,AL_005
4056427,Columbiana,33.17817,-86.60721,P,PPLA2,US,AL,117,AL_117
4057835,Cullman,34.174820000000004,-86.84361,P,PPLA2,US,AL,043,AL_043
4058027,Dadeville,32.83124,-85.76357,P,PPLA2,US,AL,123,AL_123
4058553,Decatur,34.60593,-86.98334,P,PPLA2,US,AL,103,AL_103
4059102,Dothan,31.223229999999997,-85.39049,P,PPLA2,US,AL,069,AL_069
4059162,Double Springs,34.146370000000005,-87.40247,P,PPLA2,US,AL,133,AL_133
4060991,Eutaw,32.84059,-87.88762,P,PPLA2,US,AL,063,AL_063
4061064,Evergreen,31.4335,-86.95692,P,PPLA2,US,AL,035,AL_035
4061586,Fayette,33.68455,-87.83085,P,PPLA2,US,AL,057,AL_057
4062577,Florence,34.79981,-87.67725,P,PPLA2,US,AL,077,AL_077
4062861,Fort Payne,34.44425,-85.71969,P,PPLA2,US,AL,049,AL_049
4063619,Gadsden,34.014340000000004,-86.00639,P,PPLA2,US,AL,055,AL_055
4063926,Geneva,31.03296,-85.86381999999999,P,PPLA2,US,AL,061,AL_061
4065282,Greensboro,32.70415,-87.5955,P,PPLA2,US,AL,065,AL_065
4065302,Greenville,31.8296,-86.61775,P,PPLA2,US,AL,013,AL_013
4065475,Grove Hill,31.70877,-87.77722,P,PPLA2,US,AL,025,AL_025
4065649,Guntersville,34.35823,-86.29446,P,PPLA2,US,AL,095,AL_095
4065965,Hamilton,34.14232,-87.98864,P,PPLA2,US,AL,093,AL_093
4066661,Hayneville,32.18403,-86.58025,P,PPLA2,US,AL,085,AL_085
4066793,Heflin,33.648990000000005,-85.58746,P,PPLA2,US,AL,029,AL_029
4068590,Huntsville,34.7304,-86.58594000000001,P,PPLA2,US,AL,089,AL_089
4069659,Jasper,33.83122,-87.27750999999999,P,PPLA2,US,AL,127,AL_127
4071267,Lafayette,32.89985,-85.40106,P,PPLA2,US,AL,017,AL_017
4072752,Linden,32.30625,-87.79807,P,PPLA2,US,AL,091,AL_091
4073383,Livingston,32.5843,-88.18725,P,PPLA2,US,AL,119,AL_119
4073985,Luverne,31.71655,-86.26385,P,PPLA2,US,AL,041,AL_041
4074673,Marion,32.63235,-87.31917,P,PPLA2,US,AL,105,AL_105
4076598,Mobile,30.694359999999996,-88.04305,P,PPLA2,US,AL,097,AL_097
4076725,Monroeville,31.52794,-87.32471,P,PPLA2,US,AL,099,AL_099
4076795,Montgomery County,32.220259999999996,-86.20761,A,ADM2,US,AL,101,AL_101
4077329,Moulton,34.48121,-87.29335,P,PPLA2,US,AL,079,AL_079
4081644,Opelika,32.64541,-85.37828,P,PPLA2,US,AL,081,AL_081
4081671,Oneonta,33.94815,-86.47276,P,PPLA2,US,AL,009,AL_009
4081936,Ozark,31.459059999999997,-85.64049,P,PPLA2,US,AL,045,AL_045
4082866,Phenix City,32.47098,-85.00076999999999,P,PPLA2,US,AL,113,AL_113
4084796,Prattville,32.46402,-86.4597,P,PPLA2,US,AL,001,AL_001
4086637,Rockford,32.88957,-86.21969,P,PPLA2,US,AL,037,AL_037
4087313,Russellville,34.507870000000004,-87.72864,P,PPLA2,US,AL,059,AL_059
4087481,Saint Clair County,33.7157,-86.31469,A,ADM2,US,AL,115,AL_115
4088916,Scottsboro,34.672309999999996,-86.03415,P,PPLA2,US,AL,071,AL_071
4089114,Selma,32.40736,-87.0211,P,PPLA2,US,AL,047,AL_047
4092788,Talladega,33.43594,-86.1058,P,PPLA2,US,AL,121,AL_121
4094163,Troy,31.808770000000003,-85.96995,P,PPLA2,US,AL,109,AL_109
4094455,Tuscaloosa,33.20984,-87.56917,P,PPLA2,US,AL,125,AL_125
4094484,Tuscumbia,34.7312,-87.70253000000001,P,PPLA2,US,AL,033,AL_033
4094490,Tuskegee,32.42415,-85.69096,P,PPLA2,US,AL,087,AL_087
4094975,Union Springs,32.14432,-85.71495,P,PPLA2,US,AL,011,AL_011
4095392,Vernon,33.75705,-88.10892,P,PPLA2,US,AL,075,AL_075
4096712,Wedowee,33.309,-85.48467,P,PPLA2,US,AL,111,AL_111
4097257,Wetumpka,32.54374,-86.21191,P,PPLA2,US,AL,051,AL_051
4099647,Arkadelphia,34.12093,-93.05378,P,PPLA2,US,AR,019,AR_019
4099673,Arkansas City,33.60872,-91.20678000000001,P,PPLA2,US,AR,041,AR_041
4099679,Arkansas County,34.29081,-91.37491,A,ADM2,US,AR,001,AR_001
4099837,Ash Flat,36.22396,-91.60848,P,PPLA2,US,AR,135,AR_135
4099852,Ashdown,33.67429,-94.13131,P,PPLA2,US,AR,081,AR_081
4099952,Augusta,35.282309999999995,-91.36541,P,PPLA2,US,AR,147,AR_147
4100525,Batesville,35.7698,-91.64097,P,PPLA2,US,AR,063,AR_063
4101241,Benton,34.56454,-92.58683,P,PPLA2,US,AR,125,AR_125
4101260,Bentonville,36.37285,-94.20881999999999,P,PPLA2,US,AR,007,AR_007
4104182,Camden,33.584559999999996,-92.83433000000001,P,PPLA2,US,AR,103,AR_103
4104658,Carroll County,36.34102,-93.53818000000001,A,ADM2,US,AR,015,AR_015
4105824,Clarendon,34.69315,-91.31374,P,PPLA2,US,AR,095,AR_095
4105879,Clarksville,35.471470000000004,-93.46656999999999,P,PPLA2,US,AR,071,AR_071
4105899,Clay County,36.368390000000005,-90.41738000000001,A,ADM2,US,AR,021,AR_021
4106074,Clinton,35.59147,-92.46044,P,PPLA2,US,AR,141,AR_141
4106458,Conway,35.0887,-92.4421,P,PPLA2,US,AR,045,AR_045
4106979,Craighead County,35.83079,-90.63285,A,ADM2,US,AR,031,AR_031
4107802,De Queen,34.037890000000004,-94.34132,P,PPLA2,US,AR,133,AR_133
4109785,El Dorado,33.20763,-92.66627,P,PPLA2,US,AR,139,AR_139
4110486,Fayetteville,36.06258,-94.15743,P,PPLA2,US,AR,143,AR_143
4111319,Fordyce,33.81372,-92.41293,P,PPLA2,US,AR,039,AR_039
4111382,Forrest City,35.00815,-90.78983000000001,P,PPLA2,US,AR,123,AR_123
4111593,Franklin County,35.51235,-93.89062,A,ADM2,US,AR,047,AR_047
4113607,Hamburg,33.22818,-91.79763,P,PPLA2,US,AR,003,AR_003
4113647,Hampton,33.537890000000004,-92.46988,P,PPLA2,US,AR,013,AR_013
4113951,Harrisburg,35.56425,-90.71678,P,PPLA2,US,AR,111,AR_111
4113956,Harrison,36.22979,-93.10768,P,PPLA2,US,AR,009,AR_009
4114225,Heber Springs,35.49147,-92.03126,P,PPLA2,US,AR,023,AR_023
4114272,Helena,34.52955,-90.59177,P,PPLA2,US,AR,107,AR_107
4115181,Hope,33.66706,-93.59156999999999,P,PPLA2,US,AR,057,AR_057
4115412,Hot Springs,34.5037,-93.05518000000001,P,PPLA2,US,AR,051,AR_051
4115658,Huntsville,36.08619,-93.7413,P,PPLA2,US,AR,087,AR_087
4116400,Jasper,36.00813,-93.18656999999999,P,PPLA2,US,AR,101,AR_101
4118121,Lake Village,33.32873,-91.28178,P,PPLA2,US,AR,017,AR_017
4118755,Lewisville,33.35846,-93.57768,P,PPLA2,US,AR,073,AR_073
4119581,Logan County,35.215270000000004,-93.71631,A,ADM2,US,AR,083,AR_083
4119817,Lonoke,34.78398,-91.89986,P,PPLA2,US,AR,085,AR_085
4120323,Magnolia,33.267070000000004,-93.23933000000001,P,PPLA2,US,AR,027,AR_027
4120388,Malvern,34.36231,-92.81295,P,PPLA2,US,AR,059,AR_059
4120508,Marianna,34.773709999999994,-90.75761,P,PPLA2,US,AR,077,AR_077
4120524,Marion,35.214529999999996,-90.19648000000001,P,PPLA2,US,AR,035,AR_035
4120611,Marshall,35.90896,-92.63127,P,PPLA2,US,AR,129,AR_129
4121256,Melbourne,36.059509999999996,-91.90848000000001,P,PPLA2,US,AR,065,AR_065
4121297,Mena,34.586220000000004,-94.23966,P,PPLA2,US,AR,113,AR_113
4121839,Mississippi County,35.7639,-90.05417,A,ADM2,US,AR,093,AR_093
4122015,Monticello,33.629,-91.79096,P,PPLA2,US,AR,043,AR_043
4122218,Morrilton,35.15092,-92.74405,P,PPLA2,US,AR,029,AR_029
4122466,Mount Ida,34.55676,-93.63408000000001,P,PPLA2,US,AR,097,AR_097
4122986,Mountain View,35.86841,-92.11765,P,PPLA2,US,AR,137,AR_137
4123037,Mountain Home,36.33534,-92.38516,P,PPLA2,US,AR,005,AR_005
